Tag,Description,ID,Type
Cockroaches,"These manga feature cockroaches. These brown, winged Insects have long antennae and round, flat bodies that can move at fast speeds... and often send humans running away in terror.",ejw29XGJUpyxQnVnOAXPO,theme
Cocktails,"These Alcohol-related manga feature cocktails: mixed drinks that combine spirits and other ingredients such as tonic water, flavored syrups, and bitters. These manga may involve drinking cocktails, making cocktails, or learning about mixology: the art and study of preparing, inventing, and serving mixed drinks.",6cdZ3Pgaj2-97wUI5sgEk,theme
Codependency,"These manga feature characters that are in dysfunctional, codependent relationships with lovers, family, or friends. Their reliance on each other means they are unable to thrive normally or to live as independently as they should. Sometimes, these relationships can escalate into Obsessive Love.",fltcoM8cri3NJHKutYCwi,theme
Coffee,"These manga are about coffee. The story may take place in a Cafe, where coffee drinks or espresso are served to patrons. Or, characters may be baristas, or coffee connoisseurs.",hKH9yrr7rFLAkjHqJIZ8a,theme
Cohabitation,"Cohabitation is an arrangement where unmarried people who are in a romantic or sexual relationship live together. These manga showcase the ups and downs of cohabitation, such as the little things that happen in day-to-day life, intimacy, or even breakups. Occasionally, cohabitation can involve poly relationships.",d6_AAM2wXL8Y7qqMprWIZ,theme
Collections,"For anime, collections are a compilation of episodes that focus on the same theme, but from different directors or staff.",ZQFhgq2AlA_VjCAgGIkn0,theme
College,"These manga take place in a college, a university, or a post-secondary school.",MyWW8wQYKWkMHAT9A2vI-,theme
Combining Mecha,"These manga feature multiple Mecha which can Transform and attach to each other in modular fashion, creating larger and more powerful super-machines that can act in new ways.",Pi5j8F0bpzXghnYE2tFQm,theme
Comedy,"These manga aim to make you laugh through satire, parody, humorous observations, slapstick scenarios, or absurd antics. Bonus points for spitting your drink all over your screen!",UyGbEnML42JzGJdH-CM4V,theme
Comic Essays,"A comic essay (\\u30b3\\u30df\\u30c3\\u30af\\u30a8\\u30c3\\u30bb\\u30a4 or \\u30a8\\u30c3\\u30bb\\u30a4\\u6f2b\\u753b) is a manga genre that draws on the author's life experiences, much like an Autobiography, to discuss lifestyle topics such as travel, cuisine, child-raising or pet care, or mental health.",IZQxcDIewEJrzyOZsjfSA,theme
Coming of Age,"Coming-of-age refers to the process by which a child becomes an adult. These manga showcase characters who make the transition naturally, or are forced to grow due to outside pressures. Learning about one's self, about others, about the world, and what society requires from adults, are all common themes of coming-of-age works.",HtEcXRklZSah910XQ3tPC,theme
Concubines,"These manga feature concubines: people kept for pleasure, companionship, or to provide children for those in positions of power. Royalty or other wealthy people may keep a harem of concubines. In some cases, concubines are considered married and may even have wedding ceremonies, but they generally have a lower status than a legal spouse.",BhtcEWu-nV-UlTU3EyD-m,theme
Conspiracy,These manga feature an organization of two or more people executing an unlawful or harmful secret plan. Conspiracies can be anything from large-scale government coverups to several people conspiring to make someone else's life miserable.,j4f37s2aXFJ30iRNcEZaN,theme
Contemporary Fantasy,"Contemporary Fantasy is a subgenre of Fantasy that takes place in the present day. In these stories, Magic or magical creatures might exist in the real world, but the general populace is unaware of their existence or misunderstands their true nature. Manga that take place in an urban setting are also considered to be Urban Fantasies.",Kcejg6Ng6uF2PjH6IJw73,theme
Convenience Store,These manga predominantly take place in a convenience store.,8RVQCY7m73Dp15o0gda5Y,theme
Cooking,"Cooking is the focus of these food-themed manga, whether the characters within attend a Culinary School, work in a Restaurant or are simply passionate home cooks. These manga may offer step-by-step Recipes for various dishes or plating techniques.",go0Q6DpQSClyGd-KwGDMG,theme
Countryside,"These manga are set in the countryside, an area outside of cities and removed from their influence. Communities are generally rural and pastoral in nature, with customs and dialects that could be seen as strange or antiquated. Some manga showcase the contrast between city and country life, showing how city folk struggle in adapting to a slower way of living.",FboDqV-l3UXKvjznolLsh,theme
Coworkers,"This manga features coworkers: people who work together at a job, usually at the same level in the company hierarchy. The coworkers might be shown in their day-to-day Work Life, or spending their time together with drinks after work, or are shown to be involved in a Workplace Romance.",KvUQ5-2QUTO94TwWVHokS,theme
Cows,"These manga feature cows, bulls, and oxen: large bovines often kept by humans as livestock.",bAQnvwrQxE12fexo_G9tF,theme
Crime,"Crime fiction is a genre that focuses on the planning, execution or solving of a crime. These manga typically focus on the investigation of a crime, and often include a cat-and-mouse chase between the perpetrator and the ones trying to catch them. The crime at the center of the story is traditionally a murder, though fraud, theft, money laundering, and complex criminal schemes can also be involved.",gqMPS82eqszxtcF5z36AL,theme
Criminals,"These manga are told from the perspective of criminals, whether they're lone wolves or a part of an organized group like the Yakuza or Mafia. The protagonists commit crimes that are punishable by law, with motives such as blackmail, profit, personal amusement, or sociopathy. Offenses committed might be thievery, drug dealing, kidnapping, serial killing, terrorism, or other forms of organized or petty crime.",SJUGWqop2QDgEE6q1qAOH,theme
Crossdressing,"Unlike Gender Bender titles where a character undergoes a complete physical sex change, these manga showcase characters who crossdress for a secretive reason, whether it's to attend a single-sex school or to acquire a job targeted at a specific gender. The secretive, crossdressing element must be the focus of these manga to receive the tag.",RD-uqCOk6ferxlcOUU0nZ,theme
Crossover,Crossover titles showcase characters from two or more different franchises. They are often short specials for anime or extra chapters for manga.,FyDadnMJBua1XN4951T5_,theme
Crows and Ravens,These manga feature crows or ravens: black Birds known for the loud cawing sound they make. Caw! Caw!,q3_AmG0SCojFmkOJd0q2d,theme
Crude,"These manga use lowbrow humor to make you laugh, most commonly by sex jokes, toilet humor, bodily functions or crass racial stereotypes. If these manga ask you to pull their finger you should politely decline.",6FMnhI8MPNT85sdfMyfCR,theme
Culinary School,"Characters in these manga attend a culinary school to learn how to cook or bake, with an emphasis on cooking techniques and proper plating.",JFHs2tRSbOxrEexfqOlAt,theme
Cultivation,"Cultivation (\\u4fee\\u771f) is a Taoist concept that describes extending one's lifespan through practicing martial and mystical arts, with the goal of cultivating Qi: the spiritual life force. Cultivation is a common theme in both Wuxia and Xianxia stories, with one key difference: Xianxia stories typically focus on cultivation for the purpose of achieving immortality.",rk06jg8hZFbW9Di5lx9eJ,theme
Curling,"Curling is the focus of these manga. Curling is a sport in which players slide round stones on a sheet of ice toward a target area with four concentric circles. Training and competing in tournaments or championships are common themes in sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",9tLQ7STubEpFgacbUpnKI,theme
Curse,"In these manga, people, objects, or even entire worlds have been cursed. Or, characters are trying to curse, or uncurse, someone or something. Curses are generally caused by malevolent magical or supernatural forces, and can have a wide range of undesirable effects. Common curses include unnatural illnesses, disasters, or being transformed against one's will into a monster or animal.",F4kQzfBScU72bf6OWng36,theme
Cyberpunk,"Cyberpunk is a type of science fiction where rapid advancement of technology comes at the cost of neglecting social issues. Common themes include powerful or intelligent computers, vast cyberspace networks that can be jacked into or explored virtually, or human augmentation. Many Cyberpunk manga showcase a society that's evolved into a hyper-efficient Dystopia where human needs are secondary to a smoothly functioning corporate machine.",Is92eNloC8s_WK9Jw8n8g,theme
Cyborgs,"Harder, better, faster, stronger. Cyborgs are organic beings enhanced by mechanical prosthetics, granting them abilities beyond those of mere mortals. Where does the man end and the machine begin?",HPsT6uX3jbzXZbRjMSV2U,theme
Cycling,"Whether they're riding casually or racing competitively, the characters in these manga adore their bikes and the feeling of the wind rushing by as they ride. For motorized enthusiasts, see Motorcycles.",URilyzz9BBMleRqoSGajV,theme
Dancing,"These manga feature dancers and the art of dancing, whether it's hip hop, ballroom, ballet or other styles.",D2QSxIs4KUKdiIQV5tfyb,theme
Danmei,"Danmei (\\u803d\\u7f8e) is a Chinese genre of BL that features homosexual relationships between men. Danmei titles are typically slowburn romances that rely on subtle cues and coded language to express the characters' relationships, but Danmei novels sometimes include intimate scenes.",jfC2Qd3IHDm3ga5Jq1ZHK,theme
Dark Comedy,"Dark comedy manga make humorous and comedic light of situations that people would normally find sad, frightening or mentally disturbing. Also known as Black Comedy or Dark Humor.",mh06Oe5_wcYmFPEP2tGJG,theme
Dark Fantasy,"Dark fantasy is a subgenre of Fantasy that incorporates grittier and more mature themes. These manga often contain elements of Horror, Graphic Sex, or Explicit Violence.",7C2z2xRgeWwOnBQjZJV6g,theme
Darts,"These manga focus on darts: a game in which small, pointed projectiles are thrown at a circular target to score points. Or in the case of lawn darts, weighted darts are thrown underhanded at a horizontal target on the ground.",V4T0onFHejuMuIt_A9xOL,theme
Deal with the Devil,"Characters in these manga have a need and there's only one person who can fulfill it, for a price. The \\""devil\\"" might be a merchant in a Mysterious Shop, a demon or evil being from the underworld, or any number of other individuals who offer a Faustian bargain.",2gortxFzHaaInuDHmcIOD,theme
Death of a Loved One,"In these manga, characters deal with the death of a loved one. The protagonists may be actively working through their grief, are inspired to make a new life change, or are driven to seek revenge for the fallen.",9P_QLNCMJK2NfGUto3n-r,theme
Debt,"Characters in these manga are dealing with debt, be it their own issue through Gambling or other activities, or are saddled with someone else's debt and must work to pay it off through financial or other means.",fH4wrHVD4X1sOfHLbz7AO,theme
Deer,"These manga feature deer. These herbivore animals are known for the seasonal antlers that males - and in the case of reindeer, also females - have on their heads.",jYeIHYtqgltL8G3N-cTKO,theme
Delinquents,"A delinquent is a young person, generally of school age, who has a problem with following social rules or the word of authority figures. These manga typically focus on the group dynamics of a delinquent's gang of friends, or the misadventures they get into thanks to their attitudes and actions.",LUOwaKmRx4p5mcVKYim7-,theme
Demon King,"A Demon King is the main character of these manga. Typically from Hell, this Demon Lord may still live in his fiery realm, or may have travelled to the human world to live and work. Typically male, Demon Kings can sometimes be female.",Ze8hxM9TiqMRochTuqWjI,theme
Demons,"Demons are non-human entities generally believed to be dark or evil in nature. If demons are a core aspect of the work, their actions - often harmful to humans - will generally be the focus. Characters may engage in fighting demons physically; may attempt exorcisms or other rituals or spells to deal with them; or may be the demons or their servants or allies, carrying out their own agendas.",q0i4W-BYw5i17BabKm0DB,theme
Denmark,These manga predominantly or fully take place in Denmark.,FFeaXxz-7f_SHrqp0YFmL,theme
Dentists,"These manga feature dentists: Medical professionals who specialize in teeth, gums, and the mouth.",9mi6ZMI5T258wdThZQ8aH,theme
Desert,These manga fully or mostly take place in a desert.,NI98Go8rqXaZOvZbtEW6D,theme
Detectives,"Detectives are people who investigate crimes. These manga feature characters who work the streets, analyze evidence from crime scenes, or research past records, using logic and reasoning to discover who did what, and how. Detectives may be members of a police force, employed by some other organization, or private citizens with a desire to learn the truth.",yld6jB95Re2wOPuS012jT,theme
Dinosaurs,"Dinosaurs are a broad range of reptilian or bird-like creatures which generally went extinct before the rise of mankind. These manga center on the impact of dinosaurs - whether reimagined, extinct, or living and breathing alongside humans, and may feature dinosaurs as major characters.",DbBzqxhZOH_eNuXO21ccN,theme
Disability,"These manga feature main characters with disabilities. They may be deaf, blind, mute, unable to walk, or have other debilitating conditions that impact their life. Some are disabled from birth, while others acquire their disability due to an Illness or injury.",B2hcAytgHT6b5lL-biijT,theme
Disney,These manga feature Disney characters or franchises.,sZr3AEzB94yAMMFYiqJNd,theme
Divorce,"These manga feature characters who are currently going through a divorce, or have recently gotten divorced. Typical themes include facing the emotional ramifications of ending a marriage, dealing with child custody issues, and finding new love.",J2SlEWuSLwoHteNwAaez_,theme
DJs,"These manga feature disc jockeys, or DJs: characters who mix music as part of a live performance, whether at a club or on the radio.",tAZ1cfkrYhH14beilHNfR,theme
Doctors,These manga feature doctors: Medical professionals who treat the sick and injured. They frequently work alongside Nurses.,vOY657FZypQejBbC_RRnO,theme
Dodgeball,"Dodgeball is the focus of these manga. Training and competing in tournaments or championships are common themes in Sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",d-T4Wh6bvY7LkBf7Asrld,theme
Dogs,"Dogs are the focus of these manga. Common themes in these manga include pet care, or the daily life of a dog from the dog's perspective.",5P5jbTZW1pUcjOR3oLMs6,theme
Dolphins,"These manga feature dolphins: aquatic mammals known for their intelligence that are part of the Whale family. The tag includes orcas, also known as killer whales, which are large oceanic dolphins. Despite their appearance, dolphins are not Fish.",cQba-2NkHj-S73YLQSUye,theme
Dom/Sub-verse,"Dom/Sub-verse (Dom/Sub\\u30e6\\u30cb\\u30d0\\u30fc\\u30b9) is a genre inspired by Omegaverse where instead of alphas, beta and omegas, there are BDSM-related Doms, Subs, and Switches alongside normal people who lack these traits. For those that possess them, these kinks are a part of human biology, with Doms needing to dominate their partners, Subs needing to submit to and obey them, and Switches having the urge to do both. Also known as Dom/Sub Universe.",x6hwqjpBaT8neB1PnL5xt,theme
Donkeys,"These manga feature donkeys: common beasts of burden that are also known as asses, or - in the case of half-breeds - mules. They are known for being stubborn, and for their loud, two-tone braying. Hee-haw!",srT8lmjgfYFiIdGDd_63H,theme
Doujinshi,"Doujin are a popular type of independently produced and distributed magazine, generally made in small print runs and often written by fans of manga and/or anime, including fan-fiction based on pre-existing characters from other authors. View Anime-Planet's policy for adding doujinshi to the database.",QHBdGb1P8n7gs-5YYHsw3,theme
Doujinshi Industry,"Doujin are a popular type of independently produced and distributed magazine, generally made in small print runs and often written by fans of manga and/or anime, including fan-fiction based on pre-existing characters from other authors. Common themes in these manga include production and distribution, attending doujinshi conventions, or the culture of doujin readers.",T_QlYWxvLTAMWzNm8EOCg,theme
Dragon Quest,These manga are related to the Dragon Quest video game franchise. ,LAASXidFpnarbc1xhFrcH,theme
Dragons,"Dragons are huge and mighty serpentine mythological creatures, often seen as being magical in nature. These manga center on the impact of dragons - whether reimagined, extinct, or living and breathing alongside humans, and may feature dragons as major characters.",PytSnMLCXGksQ_Tdr3i7S,theme
Drama,"Drama manga heavily emphasize their characters' emotional development. Whether by experiencing the protagonist's emotional turmoil, viewing heated character interactions, or exploring a passionate romance, any manga that humanizes its characters through emphasizing their flaws qualifies as a Drama.",psX8s5O0qGuool03DxSjx,theme
Dream World,"Characters in these manga explore a person's subconscious mind, whether they're aware of their own dream world, or traverse someone else's thoughts and dreams through fantastical or technological means.",Mpeam4Yjzq8VMRitOMoZT,theme
Ducks,"These manga feature ducks: Birds known for their webbed feet, love of water, and the \\""Quack!\\"" sound they make.",K0a2_4bcwATxiTonHhom3,theme
Dungeon,"Dungeons are the focus of these manga. The setting might take place in the dungeon, or the story might be related to one, such as dungeon management or creation. These manga typically follow adventurers who traverse the floors or levels of a dungeon to find treasure, to defeat monsters, or to exit it.",p9P6nIEbwuGs0mFrVO3Ru,theme
Dysfunctional Families,"These manga focus on dysfunctional families. A major theme of these stories deal with unhealthy familial relationships such as abusive, overly-controlling, or codependent parent-child and sibling relationships. Unlike the Family Life tag, these stories have a stronger focus on Drama and the negative consequences it has for the characters.",MzOCBE8nTcFuR3h8Wrfez,theme
Dystopia,"Unlike idyllic utopias, a Dystopia is an imagined timeline where something has gone terribly wrong. In these manga, invasive, totalitarian governments might rule the populace with an iron fist and use fear as a controlling mechanism. Sentient machines, ethics violations, forced population control and corrupt justice systems are common Dystopian themes. Some Dystopias might appear to be utopias, but once you look beneath the surface, terrible secrets are exposed.",zgYcwbfN7eLR4KbUj6BIm,theme
Earthquake,"An earthquake shatters the tranquillity of these manga, whether the disaster was natural or manmade. Often these manga center on the aftermath of the event and how the characters struggle to survive.",hCn5Dh9W4oc91ylS59zYp,theme
Ecchi,"Constant panty shots, bouncing breasts and dubious camera angles are hallmarks of an Ecchi title. These titles are usually sexualized and designed to titillate, depicting perverted themes and focusing heavily on the female body. Nosebleeds, suspicious hand positions, faceplanting into bosoms, expressive and exaggerated body parts and other tropes characterize this genre. Ecchi is all about fanservice, while Borderline H and Smut titles focus more on sexual content.",9WGDFCp8epk6lIcNV9wk6,theme
Economics,"These manga focus on economics, showing the inner workings of markets, trade, and business. They may show how economics affects the overall economy, or they may feature merchants and other money-driven characters whose goal is to find new and better ways to turn a profit.",bTWAomxpSMGqzJvJLiOye,theme
Editors,"These manga feature editors: people who have a career related to editing and publishing written works. They might edit the books of authors in the Manga Industry or Novel Industry, or they might be employed to edit magazine or newspaper articles.",hz6Ck-JN9vWu4cH6Nn5Ob,theme
Educational,"These manga aim to inform you about a real world subject. Whether scientific, historical, cultural, social, or practical knowledge useful towards mastering a skill, facts are provided on a given set of topics throughout the story.",zJAZi8l2dhdCfxtwaSLcg,theme
Egypt,These manga predominantly or fully take place in Egypt.,pvEHMYcGF5KWBI-0wuYAl,theme
Egyptian Mythology,"These manga reference Egyptian mythology: a collection of myths involving famous Egyptian Gods, such as Ra, Anubis, or Bastet. Other well-known examples include the lion-bodied sphinx, the Egyptian Afterlife, and the tale of Isis and Osiris.",I_4sof6C2BbcWAk_XjrPh,theme
Elemental Powers,"These manga feature characters who possess elemental powers such as fire, water, wind and lightning. ",2urxwQn1ikLrFlFZIEiG5,theme
Elephants,"These manga feature elephants: massive creatures known for their long trunks and ivory tusks. Elephants are currently the largest living land animals in the world, closely related to the now-extinct mammoths and mastodons.",Yr5xxb-s5Ke4Bfhcxsmfc,theme
Elves,"These manga feature characters who are elves. Members of elven races are often slender, have pointy ears, and have a talent for archery; but other kinds of elves exist as well, such as those that work for Santa at the north pole.",ouj-Y_aGJsdLQvEN3Mx9m,theme
England,These manga predominantly or fully take place in England.,qPt6O35vnbB7EV5uutW1O,theme
Environmental,"Environmental manga concern themselves with the state of the natural world and how humans interact with it. Balance and harmony, and specifically the effects of expanding civilization and industry on wildlife, biological diversity, and the world as a whole, are important themes.",HBjzjo1JPjg4-pC4K2Fme,theme
Episodic,Episodic manga are a collection of separate stories loosely connected by a theme or one or more central recurring characters.,ZZFC80gzGMDbaEHla61cD,theme
Espionage,"Espionage is the main focus of these manga. Common themes include surveillance and reconnaissance, infiltrating past enemy lines, or Spies that act as secret agents who go undercover, steal technology for their home country, or sabotage the enemy.",6gWgpqJN4HfBgrGFkVM_l,theme
Esports,"Esports, short for electronic sports, is a form of competition where professional players compete individually or in teams using video games, most frequently with multiplayer games. Common examples include Dota, League of Legends, and Starcraft, but these manga may include fictional games as well.",BF_IZEifZTOYP4lsA1Zar,theme
Eunuchs,"These manga feature eunuchs: castrated males who were often employed to manage or guard harems, or serve as personal attendants in royal households. Some eunuchs may also get involved in politics or serve as advisors.",HKgJkfEqxtfN6uaHBpydN,theme
Europe,These manga predominantly or fully take place in Europe.,NW7_Ccc7meUgso410qrVj,theme
Exorcists,"These manga feature exorcists: people who specialize in expelling Supernatural beings from people, animals, objects, and places. Exorcists are often trained by and work for religious organizations, such as the Catholic church or a Buddhist temple, or they might wander the land of their own volition helping those in need. Demons, Ghosts, and Youkai are common creatures that exorcists deal with.",0305gpLtek7bkuiJd75xR,theme
Fake Romance,"Characters in these manga are in a pretend relationship. They are in a fake romance because of many reasons, such as one person blackmailing the other, or trying to make their real crushes jealous.",KV0EwneX_nozZv9TyVuVT,theme
Falcons,These manga feature falcons: Birds-of-prey that are sometimes trained by humans to use in hunting and on the battlefield. See also: Birds.,8zX-TitI3oXi8UjTFOBwV,theme
Family Friendly,,JScu6VUHI9MJYLc3WpN6-,theme
Family Life,"These manga focus on interaction between family members, whether they are living their everyday lives together in peace, grieving together after a loss, or adjusting to changes such as moving to a new home, divorce, remarriage, or facing unexpected challenges together.",NPB9MyjjSCr_UUTKFFlCn,theme
Fantasy,"Fantasy manga take place in a broad range of settings influenced by mythologies, legends, or popular and defining works of the genre such as The Lord of the Rings. They are generally characterized by a low level of technological development, though fantasy stories can just as easily take place in our modern world, or in a Post-apocalyptic society where technology was buried alongside the old world. These manga also tend to feature magic or other extraordinary abilities, strange or mysterious creatures, or humanoid races which coexist with humanity or inhabit their own lands removed from ours.",YaMRY5kvDmKUmqCv3QTdr,theme
Fashion,"These manga focus on the fashion industry. Common themes include design, creation, modelling, marketing, or appreciation of clothing, makeup and accessories.",tb2fWlpdx94MDHnZwcQDh,theme
Fated Lovers,"These manga feature couples that are destined to be together. They may have been chosen for each other by a higher power, loved each other in a past life, or live in a world where everyone has a fated soulmate that they can instinctively tell is \\""the one\\"".",HkvVauCRP1BBRfgJrbTTk,theme
Fencing,"These manga focus on fencing: the sport of fighting with swords - mainly foils, \\u00e9p\\u00e9es, or sabers - in order to score points against an opponent.",nYA3XFCujLDl6_qY_IqT1,theme
Ferrets,"These manga feature ferrets. These cute, long-bodied mammals are common pets, and earned their name ferret (Latin for \\""little thief\\"") due to their mischievous tendency to steal and hide small items.",RE-EWQA0hrvTqaTVLDLV5,theme
Feudal Japan,"These manga take place in Japan between the Heian and Meiji eras. Common themes are typically influenced by Samurai, shinsengumi, or the shogunate, and frequently focus on warfare, travel, or rural life.",MyPtKIXumvp0I5GuqE1ld,theme
Film Comic,"A Film Comic is a special type of manga that's based on an anime. The artwork is generally Full-Color images from the anime, with the exact same dialogue as the anime. Film Comics are sometimes called Ani-manga or Cine-manga.",i-wiswbfYuXQ2s2L66uKQ,theme
Finland,These manga predominantly or fully take place in Finland.,XHEb0IG5VQdwCP8CnoKGf,theme
Firefighters,"These manga feature firefighters: professionals employed to extinguish fires and rescue those whose lives are threatened by them. Firefighting might be the focus of these manga, or important characters are firefighters.",9_TbkzjJSFL_g9tS3PnEN,theme
Fish,These manga feature fish: animals with fins and gills that dwell in water.,C6NAZs0_FRZOoanfoWw6o,theme
Fishing,"Fishing is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as individual or team spirit, or being an underdog who goes against the odds to succeed.",hRK2b-F5ppelwnd36NmSC,theme
Flower Arranging,"These manga are about flower arranging. They might feature characters who arrange flowers at a Flower Shop, practice Ikebana as a hobby or for a School Club, or simply enjoy creating flower arrangements as a hobby.",iTPxE0wIUriP1GtzMubMC,theme
Flower Shop,These manga predominantly take place in a flower shop where florists sell or arrange flowers for customers.,e6esb95GbjVXGpsnG41jn,theme
Food and Beverage,"These manga relate to food and beverage, from taking place in a Restaurant, Cafe or Culinary School, to showcasing step-by-step cooking instructions and techniques, to featuring culinary competitions that pit would-be chefs or bakers against each other.",O9pxMp0lKtUSDw564869q,theme
Food Protagonists,"These manga feature protagonists that are partially or fully based on food or ingredients. The characters can appear in normal, anthropomorphic or fantastical forms, for example, the creatures in Dogtato-kun are food-based representations of normal animals.",jeLiXXoXG6UZbzWtqQvYT,theme
Football,"American football is the focus of these manga. Training and competing in Tournaments or championships are common themes in Sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",h3gKX1yL2mAPC9zpsDzO6,theme
Forest,"These manga fully or mostly take place in a forest: a large area dominated by trees. Forests can vary greatly based on climate, from woods filled with tall fir trees, to tropical jungles with dense vegetation.",UTyGi8AMeN8twlfQ-mx1R,theme
Foxes,"These manga feature foxes: mammals with triangular ears, pointed snouts, and bushy tails. Foxes have been popular in Japanese, Chinese, and Korean folklore since ancient times, frequently depicted as tricksters. Foxes that become Youkai are known as Kitsune.",0RtvS5NTtmtert4tx-iKH,theme
Framed for a Crime,"Characters in these manga were framed for a crime they didn't commit, sometimes as a Betrayal by someone they know.",Ev5So2Tlt0DN7IELPQdjO,theme
France,These manga predominantly or fully take place in France.,DHUyq5cHmoWSxDO8bOK9T,theme
French Revolution,These manga are directly or loosely based on the French Revolution: a period of social and Political upheaval that lasted from 1789-1799.,-68aYiOAhZ3NyWw-9ZooR,theme
Frogs,Frogs are the focus of these manga.,g9lypONlbDOIYv7rEA5V_,theme
Fudanshi,"These manga feature Fudanshi (\\u8150\\u7537\\u5b50). Translated as \\""rotten boy\\"", the term describes men who are obsessed with men in homosexual relationships. Their preferred fiction is anything to do with Yaoi or Boys' Love (BL).",OLeSXky-gTVJhZpznl9DD,theme
Fujoshi,"These manga feature Fujoshi (\\u8150\\u5973\\u5b50). Translated as \\""rotten girl\\"", the term describes women who are obsessed with men in homosexual relationships. Their preferred fiction is anything to do with Yaoi or Boys' Love (BL).",241wA0CeLkg5rioK0pbub,theme
Full Color,"These manga are fully drawn in color, unlike normal manga which occasionally have a few colored pages, followed by all black and white artwork. Korean and Chinese webcomics, and Film Comics, frequently have Full Color artwork.",SjxSQViqJHk8REwUJxRJO,theme
Futsal,"Futsal is the focus of these manga. Training and competing in tournaments or championships are common themes in sports titles, as well as team spirit, or being an underdog who goes against the odds to succeed.",FmCLdfirAaosXg7dZNwpW,theme
Gag,"Gag comedies are usually episodic, focusing on a specific pun, joke, situation, or character, for a series of episodes for anime, or one or more chapters for manga. The breakdown is similar to a single sketch in a stand-up comedy show. 4-koma manga typically use a single strip for a single joke.",8rtgTAbIRrSLvpg2Op9Py,theme
Gambling,"You win some, you lose some. Gambling is a strong focus in these manga, from casino adventures to backroom games. Characters often gamble day in and day out for a variety of stakes: money, fame, or in the case of High Stakes Games, even more sinister consequences.",EZ-L9oIhIeUVuNnVm7wNv,theme
Game Elements,"These manga contain elements commonly found in RPGs, dating sims, or other video games. Level systems, experience points, and pop-up windows showing the characters' skills, status, or relationship meters are common examples of this. The characters might focus on completing tasks and side quests to gain experience or to level up, or they might focus on defeating a main boss. The story could also possess other game-like qualities, such as working in conjunction with a System Administrator.",Sw2jCC2fv58G3RtgBUg-B,theme
Gangs,"In these manga, a group of individuals have joined forces to commit crimes or cause mayhem. They might be Delinquents in a school gang, members of the Bosozoku (biker gangs), or hardened criminals in a crime syndicate like the Mafia or Yakuza.",X0S2qdOkxLC6NLACXUfcX,theme
Gateball,"These manga focus on gateball: is a fast-paced, mallet team sport played on a rectangular court that contains three gates and a goal pole. Teams score one point for each ball hit through a gate and two points for hitting the goal pole. The game was originally inspired by Croquet.",3BTAjJ0D8Yu9HxVGcfuFj,theme
Geese,These manga feature geese: water-loving Birds that come in a variety of colors and are known to migrate based on the seasons. Geese mate for life and are extremely territorial during nesting season.,ASSc7NBli7pI72aq33KGK,theme
Gekiga,"Gekiga is a term coined by Yoshihiro Tatsumi in the 1950s to separate his more adult works from the generally kid-friendly titles that dominated the manga scene at the time. These manga can be identified by their focus on realistic artwork and character design, and inclusion of mature or adult content. Other artistic movements began to supercede Gekiga in the 1990s.",dMe8dCYsdkqHM5C5x-WPg,theme
Gender Bender,"A character in these manga undergoes a complete or partial physical sex change, whether due to environmental aspects, an enchanted item, a wish that's been granted or a number of other factors. Depending on the situation, the character might be stuck in their new body, or changed back automatically at some point, or have the ability to change back and forth at will. If a man and woman suddenly share the same body, the Gender Bender tag applies as well.",YIqFDJLpT3zQVSgIpEyIQ,theme
Gender Identity,"These manga feature characters facing challenges regarding their gender identity, whether they are choosing to openly explore their gender or are struggling with gender roles being forced on them against their will. These manga often focus on transgender, non-binary, or intersex characters, as well as LGBT Themes.",XX0P0crLfl3-l52lQYZsN,theme
Genies,These manga feature genies: members of the djinn race. They are magic users and are typically known to grant wishes to humans in Middle Eastern settings.,O2eKP8RI609EAtdKxfFwt,theme
Germany,These manga predominantly or fully take place in Germany.,iIAPhhS7MRYeGkxslj4jl,theme
Ghost Hunters,"The protagonists of these manga are hot on the trail of ghosts, goblins and other things that go bump in the night. Whether they're running a paranormal school club or ghost hunting in a haunted mansion, the characters of these manga are always on the lookout for the supernatural.",6wTkpS3JQVK-uVk269iYC,theme
Ghosts,"These manga feature protagonists who are Ghosts: Supernatural beings who have passed on to the Afterlife. Ghosts are usually non-corporeal and translucent, unless they're possessing someone.",vrO3gTgXG5BD4bNPOgiM1,theme
GL,"GL (short for Girls' Love) is a genre that depicts homosexual relationships between women. On Anime-Planet, Shoujo-ai categorizes romantic stories that focus on emotional aspects of relationships, while Yuri categorizes adult content.",0XVvwSXdw-hX-1iczMe3c,theme
Go,"These manga focus on Go: a two-player, strategy Board Game where players try to surround more territory than their opponents using black and white playing pieces called stones. Believed to be the oldest board game still played in modern times, Go was invented in China more than 2,500 years ago before spreading to Korea and Japan.",kTljRAMWVQKeCvEjE8l5a,theme
Goats,These manga feature goats: horned mammals that are extremely agile and love to climb high places. Goats are close relatives of Sheep.,p43uYT-JYgdtm3zpSvHF8,theme
God-Human Relationship,"These manga focus on romantic or sexual relationships between humans and Gods. They may meet by chance and fall in love, or the relationship may be the result of something more sinister, such as the human being offered as a sacrifice to appease the god.",hY2y3n8YySuiXAFINYcmF,theme
